"","ID","Time","Snip","Head.l"
"1",1,"2020-01-28T22:57:20+0000","The virus has infected more than 3,497,300 people in at least 177 countries.","Coronavirus Map: Tracking the Global Outbreak"
"2",2,"2020-02-03T19:14:10+0000","The latest cases were 14 people who had been evacuated by the U.S. government from a cruise ship in Japan.","Coronavirus in the U.S.: 29 Confirmed Cases, More Tests Underway"
"3",3,"2020-02-03T01:30:42+0000","There are now three suspected cases in the city. The patients had recently been to China and came down with flulike symptoms.","Coronavirus in New York: 2 More Possible Cases in City Are Identified"
"4",4,"2020-01-21T20:06:18+0000","A respiratory virus that originated in China has infected more than 900,000 people worldwide, with at least 200,000 cases in the United States.","The Coronavirus: What Scientists Have Learned So Far"
"5",5,"2020-02-02T23:57:37+0000","American officials issued a cutoff of 5 p.m. on Sunday for airline passengers to leave China before being denied entry to the United States or subject to two-week quarantine.","‘Scared and Panicked’: Travelers Rush to Avoid Virus Quarantine"
"6",6,"2020-02-03T10:00:23+0000","A tense nighttime drive along deserted roads to an empty airport, then a scramble to join the rush of passengers leaving China amid the coronavirus scare.","Home at Last From China: A Foreign Exchange Student’s Travel Ordeal"
"7",7,"2020-01-30T00:39:30+0000","Distrust in science and institutions could be a major problem if the outbreak worsens.","Is the World Ready for the Coronavirus?"
"8",8,"2020-01-28T06:02:59+0000","It may have started with a bat in a cave, but human activity set it loose.","We Made the Coronavirus Epidemic"
"9",9,"2020-01-28T10:15:25+0000","The city's health commissioner has urged calm as cases of the dangerous new coronavirus crop up in a number of states. ","New York is Bracing for the Coronavirus"
"10",10,"2020-01-27T18:30:23+0000","In Queens, some who recently returned from China have even self-quarantined. But officials have urged calm.","New York Braces for Coronavirus: ‘It’s Inevitable’"
"11",1,"2020-01-30T16:05:25+0000","Test your knowledge of this week’s health news.","Weekly Health Quiz: Optimism, Muscles and Coronavirus"
"12",2,"2020-01-28T22:50:04+0000","Public health experts explain the risks and what we still don’t know.","Should You Be Worried About the Coronavirus?"
"13",3,"2020-01-30T10:39:19+0000","Lunar New Year celebrations have taken on a muted feel.","Coronavirus, a Fire and Anxiety in the Chinese Community"
"14",4,"2020-01-31T22:15:11+0000","The state is home to more than half of the confirmed cases in the United States, and is using military bases as quarantine sites.","California and Coronavirus: Eight Cases Are Confirmed in the State"
"15",5,"2020-01-30T10:00:23+0000","We must determine whether the outbreak will turn into a global epidemic.","To Understand the Wuhan Coronavirus, Look to the Epidemic Triangle"
"16",6,"2020-02-03T08:00:16+0000","In the nearly 20 years since SARS, China’s importance in the global economy has grown exponentially.","SARS Stung the Global Economy. The Coronavirus Is a Greater Menace."
"17",7,"2020-01-28T08:04:15+0000","Investors have been worried that the mysterious epidemic in China could hurt economic growth.","Global Markets Are on Edge as Coronavirus Spreads"
"18",8,"2020-01-31T17:59:49+0000","Toronto’s health care system fell into chaos and confusion during the SARS outbreak 17 years ago. Changes stemming from that crisis are now being tested.","SARS Was Deadly in Canada. Is the Country Ready for Coronavirus?"
"19",9,"2020-01-31T06:18:06+0000","A newspaper front page called it a “Chinese virus.” Fake posts have warned people to avoid Chinese products. As the outbreak spreads, some worry about xenophobia.","An Outbreak of Racist Sentiment as Coronavirus Reaches Australia"
"20",10,"2020-02-03T01:49:50+0000","Returning from a long holiday, Chinese investors consider the implications of the virtual shutdown of the world’s No. 2 economy.","China Stocks Plunge as Coronavirus Fears Grow"
"21",1,"2020-02-03T20:24:38+0000","The C.D.C. is testing three patients in the city for coronavirus. Should New Yorkers be worried, and what could happen next?","Coronavirus in New York: What We Know So Far"
"22",2,"2020-01-28T11:30:51+0000","The disease outbreak in China continues to spook investors around the world, though fears appear to be moderating slightly.","The Coronavirus Is Unwinding Global Economic Gains"
"23",3,"2020-01-26T23:37:15+0000","Airlines are suspending direct flights to mainland China, and U.S. health officials are warning travelers to avoid all nonessential trips to the country, the center of the outbreak.","The Coronavirus: What Travelers Need to Know"
"24",4,"2020-02-02T12:00:07+0000","","The Week in Business: Coronavirus Hits the World Economy"
"25",5,"2020-02-02T21:59:39+0000","In an interview with Sean Hannity of Fox News, President Trump insulted his potential 2020 rivals, lamented impeachment and defended his administration’s coronavirus policies.","Trump Defends Closing Borders to Travelers to Fight Coronavirus"
"26",6,"2020-02-03T23:46:38+0000","Authorities sealed off Wuhan, the Chinese city of 11 million at the center of the coronavirus outbreak. Residents told us how they are coping.","‘I Feel Abandoned’: How Residents in Wuhan Are Coping With Coronavirus"
"27",7,"2020-01-23T11:50:06+0000","Here are the latest images as the country confronts a major public health crisis.","China’s Battle With a Deadly Coronavirus, in Photos"
"28",8,"2020-02-03T05:08:39+0000","The death was the second from the virus outside mainland China. The patient was a 39-year-old man who had visited Wuhan and returned to Hong Kong on Jan. 23.","Hong Kong Reports First Death From Coronavirus Outbreak"
"29",9,"2020-01-29T05:14:44+0000","Chinese officials have confirmed over 7,700 cases of the mysterious illness as foreign governments airlifted their citizens out of Wuhan, the outbreak’s epicenter.","More Than 7,700 Cases of Coronavirus Recorded Worldwide"
"30",10,"2020-01-28T10:00:21+0000","There was a getting-out-of-Dodge feeling as we boarded the airplane, although airplanes — with their recycled air — are very effective settings for the spread of respiratory infections.","Leaving Shanghai as the Coronavirus Extended Its Reach"
"31",1,"2020-01-28T10:00:21+0000","There was a getting-out-of-Dodge feeling as we boarded the airplane, although airplanes — with their recycled air — are very effective settings for the spread of respiratory infections.","Leaving Shanghai as the Coronavirus Extended Its Reach"
"32",2,"2020-02-01T21:08:23+0000","A sample was being sent to the federal authorities for confirmation, the city Health Department said.","New York City Eyes First Suspected Case of Coronavirus"
"33",3,"2020-02-03T22:37:39+0000","The spread of the virus is likely to slow China’s progress in meeting the commitments it agreed to last month as part of the initial trade deal with the United States.","Coronavirus May Delay Hard-Fought U.S. Trade Wins in China"
"34",4,"2020-01-30T20:00:07+0000","The Chinese government is going all-out because it knows the people don’t entirely trust it.","Coronavirus and the Panic Epidemic"
"35",5,"2020-01-23T23:36:51+0000","The outbreak of a dangerous respiratory virus in China is putting a strain on hospital staff and medical resources.","Coronavirus Overwhelms Hospitals in Wuhan, Videos Show"
"36",6,"2020-01-30T16:11:40+0000","The commerce secretary said the virus, while “very unfortunate,” could prompt companies to reconsider operating inside China.","Wilbur Ross Says Coronavirus Could Bring Jobs Back to the U.S."
"37",7,"2020-01-28T05:08:09+0000","The number of known cases of the new virus rose by nearly a third overnight. A shortage of test kits has led experts to warn that the real number may be higher.","Coronavirus: Death Toll Climbs, and So Does the Number of Infections"
"38",8,"2020-01-23T18:27:57+0000","The number of cases outside China is small, and the disease does not seem to be spreading within other countries.","Coronavirus Is Spreading, but W.H.O. Says It’s Not a Global Emergency"
"39",9,"2020-01-23T11:50:57+0000","As China closes off cities affected by the growing viral outbreak, business leaders at the World Economic Forum fear a replay of the SARS epidemic.","Fears Over New Coronavirus Grip Davos"
"40",10,"2020-01-23T05:10:24+0000","At least 25 people have died and more than 800 have been sickened by the mysterious illness, health officials said. The travel restrictions imposed on Wuhan were extended to at least four more cities.","Coronavirus Death Toll Climbs in China, and a Lockdown Widens"
"41",1,"2020-01-21T21:37:37+0000","The virus has sickened tens of thousands of people in China and a number of other countries.","Wuhan Coronavirus Map: Tracking the Spread of the Outbreak"
"42",2,"2020-02-02T18:39:22+0000","It is nearly impossible to get the care they need to treat, or even diagnose, the coronavirus, say residents at the crisis’ center.","Coronavirus Pummels Wuhan, a City Short of Supplies and Overwhelmed"
"43",3,"2020-01-31T16:03:26+0000","American, Delta and United will halt service to the Chinese mainland, widening the impact of the outbreak on business and travel.","3 Major U.S. Airlines Suspend China Flights Over Coronavirus"
"44",4,"2020-01-26T05:02:35+0000","The number of dead climbed to at least 80, while in the United States, five cases were confirmed.","More U.S. Coronavirus Cases Emerge, as China’s Death Toll Rises"
"45",5,"2020-01-30T22:00:12+0000","The commerce secretary just flunked microbe economics.","No, Team Trump, the Coronavirus Isn’t Good for America"
"46",6,"2020-01-24T09:02:57+0000","Chinese citizens are overcoming a lack of reporting on the crisis in the state-run media by sharing their own videos and information about the coronavirus outbreak.","Panic and Criticism Spread on Chinese Social Media Over Coronavirus"
"47",7,"2020-01-23T23:02:41+0000","They may help, but experts say it’s more important to wash your hands.","Many in China Wear Them, but Do Masks Block Coronavirus?"
"48",8,"2020-01-29T00:22:09+0000","New technology and better coordination have sped up development. But a coronavirus vaccine is still months — and most likely years — away.","Researchers Are Racing to Make a Coronavirus Vaccine. Will It Help?"
"49",9,"2020-01-31T10:00:03+0000","Here’s what early research says about how the pathogen behaves and the factors that will determine how far it will spread.","How Bad Will the Coronavirus Outbreak Get? Here Are 6 Key Factors"
"50",10,"2020-01-29T00:08:22+0000","I covered the SARS outbreak as a reporter in China, and I saw that common sense is the best defense against viral illness.","How to Avoid the Coronavirus? Wash Your Hands"
"51",1,"2020-01-23T01:23:43+0000","Health leaders in Washington State have been working to monitor at least 16 people who may have been in close contact with the man who flew in from China.","A Scramble to Retrace the Steps of the First Wuhan Coronavirus Case in the U.S."
"52",2,"2020-01-25T05:10:10+0000","Concern over the outbreak has crept closer to central government offices and the ruling Communist Party’s seat of power.","Coronavirus Spurs China to Suspend Tours Abroad and Xi to Warn of a ‘Grave Situation’"
"53",3,"2020-01-30T00:11:40+0000","Xi used his tight rule to control information rather than to stop an epidemic.","Coronavirus Spreads, and the World Pays for China’s Dictatorship"
"54",4,"2020-02-02T19:35:20+0000","Rapidly rising caseloads alarm researchers, who fear the virus may make its way across the globe. But scientists cannot yet predict how many deaths may result.","Wuhan Coronavirus Looks Increasingly Like a Pandemic, Experts Say"
"55",5,"2020-01-28T16:39:27+0000","As W.H.O. coordinates scientific teams, federal officials plan to expand screening of travelers from China to 20 ports of entry in the U.S.","China Will Admit International Experts to Help Contain Coronavirus Outbreak"
"56",6,"2020-01-26T19:20:25+0000","Amid news the coronavirus is spreading at an accelerating rate, concern is growing that China’s lockdown of cities may not only have come too late but could even make the situation worse.","As Coronavirus Fears Intensify, Effectiveness of Quarantines Is Questioned"
"57",7,"2020-01-26T09:14:04+0000","The other two cases were in Washington State and Chicago.","California Confirms Coronavirus Patient, Marking Third U.S. Case"
"58",8,"2020-01-28T09:06:26+0000","Hong Kong announced the shutdown of major rail passenger links and limits on flights coming from the mainland. China will stop issuing visas for individual travelers to the territory.","A Divided Hong Kong Confronts the Arrival of the Coronavirus"
"59",9,"2020-01-31T02:40:49+0000","Americans who are currently in China should consider leaving, United States officials said.","State Department Warns Against Traveling to China Amid Coronavirus Outbreak"
"60",10,"2020-01-30T15:39:09+0000","Fears of the outbreak have fueled xenophobia as a wave of panic spreads, sometimes outstripping practical concerns.","As Coronavirus Spreads, So Does Anti-Chinese Sentiment"
"61",1,"2020-01-30T14:58:12+0000","For an entire day, passengers on the cruise ship were blocked from disembarking after a woman onboard became sick. She did not have the disease, but Italy did identify its first two cases in Rome.","Cruise Passengers Are Held at Italian Port in False Alarm Over Coronavirus"
"62",2,"2020-01-31T10:00:29+0000","The government’s efforts to stop the outbreak could push the country’s already struggling small businesses over the edge.","China Targets the Coronavirus, and Farmers Pay a Price"
"63",3,"2020-01-30T00:18:17+0000","The time to prevent more epidemics is now, and countries are trying to seize the moment.","As Coronavirus Explodes in China, Countries Struggle to Control Its Spread"
"64",4,"2020-02-03T16:06:58+0000","The Chinese capital, like other cities far from the epidemic’s center, has imposed restrictions and shut down public spaces, straining the ties that bind society.","Beijing in the Time of Coronavirus: No Traffic, Empty Parks and Fear"
"65",5,"2020-01-30T19:45:23+0000","The announcement came as nearly 10,000 cases have been reported worldwide.","W.H.O. Declares Global Emergency as Wuhan Coronavirus Spreads"
"66",6,"2020-01-31T10:00:27+0000","There has only been one confirmed case of the virus at a college campus, but anxiety is palpable in classes and dorms.","Masks Are On. Games Are Canceled. Fear of the Coronavirus Comes to U.S. Colleges."
"67",7,"2020-02-01T17:30:46+0000","At critical turning points, Chinese authorities put secrecy and order ahead of openly confronting the growing crisis and risking public alarm or political embarrassment.","As New Coronavirus Spread, China’s Old Habits Delayed Fight"
"68",8,"2020-01-31T18:17:47+0000","The U.S. government took the rare step with American evacuees flown home from Wuhan, China, and said it would quarantine others returning from recent travel in the region.","195 Quarantined in California After Fleeing Coronavirus Epicenter"
"69",9,"2020-01-26T16:06:04+0000","With Xi Jinping firmly in control, the Chinese government has stepped up its response to the Wuhan crisis, but the effort has been plagued by bureaucracy and a lack of transparency.","In Coronavirus, a ‘Battle’ That Could Humble China’s Strongman"
"70",10,"2020-01-28T21:37:09+0000","With cases spiking in China and early signs of a spread outside Asia, Hong Kong severely cut back transportation to the mainland.","Containing the Coronavirus: Countries Limit Travel to China"
"71",1,"2020-01-28T14:00:50+0000","With anger rising over the response to the coronavirus outbreak, even some with ties to China’s leaders have called for acknowledging divisions, not papering them over.","Coronavirus Crisis Exposes Cracks in China’s Facade of Unity"
"72",2,"2020-02-02T08:51:24+0000","Top officials in Southeast Asia have played down the threat of the virus and shied away from travel bans. Some have even pushed supposed remedies not supported by science.","Quieter Response to Coronavirus in Countries Where China Holds Sway"
"73",3,"2020-02-01T14:30:35+0000","The growing uncertainty over the safety of visiting or leaving China is bedeviling companies around the world.","Coronavirus Thwarts Business Travelers Who ‘Need to Be in the Room’"
"74",4,"2020-02-01T20:52:56+0000","The number of deaths from the virus outbreak rose to 304 and the number of cases soared to more than 14,000 as Australia and Japan joined the United States in imposing travel restrictions.","China Increasingly Walled Off as Countries Seek to Stem Coronavirus"
"75",5,"2020-01-31T02:32:50+0000","The 195 Americans who flew from China to California were first told they must clear medical tests that could take 72 hours or many days. Now they are all being quarantined for two weeks.","Inside the California Military Base a Coronavirus Evacuee Tried to Flee"
"76",6,"2020-01-29T11:05:11+0000","As British Airways cancels flights and automakers close factories, businesses consider how to cope without the country’s vast factories and thriving consumer culture.","Coronavirus Outbreak Tests World’s Dependence on China"
"77",7,"2020-02-03T23:12:00+0000","The authorities hunt for people from Wuhan, the center of the outbreak, encouraging citizens to inform on others. Even those without symptoms are being ostracized.","China, Desperate to Stop Coronavirus, Turns Neighbor Against Neighbor"
"78",8,"2020-01-30T19:35:04+0000","A man was detained after beating up a doctor in Wuhan, and medical staff members are wearing raincoats to protect against infection.","Coronavirus Anger Boils Over in China and Doctors Plead for Supplies"
"79",9,"2020-01-23T20:04:43+0000","Health officials said they were keeping the Texas A&M student, who had traveled to China, isolated at home.","Texas Student May Have Wuhan Coronavirus, as Dozens in U.S. Are Monitored"
"80",10,"2020-01-16T03:29:27+0000","The two new patients will add to fears that the virus will spread further outside China’s borders.","Japan and Thailand Confirm New Cases of Chinese Coronavirus"
"81",1,"2020-01-16T03:29:27+0000","The two new patients will add to fears that the virus will spread further outside China’s borders.","Japan and Thailand Confirm New Cases of Chinese Coronavirus"
"82",2,"2020-02-02T22:55:22+0000","A 44-year-old man who traveled from Wuhan, China, the center of the outbreak, died in the Philippines, officials said.","Philippines Reports First Coronavirus Death Outside China"
"83",3,"2020-01-29T23:33:28+0000","More than a dozen nations pulled their citizens from Wuhan. But how evacuees were handled once they got home varied country by country.","Foreigners Airlifted From Chinese City at Heart of Coronavirus Outbreak"
"84",4,"2020-01-27T12:23:40+0000","U.S. stocks followed European markets down amid concerns that the coronavirus could hurt the global economy.","Stocks Have Worst Day Since October Over Coronavirus Worries"
"85",5,"2020-01-29T20:40:18+0000","No confirmed case of the virus has been found in the state. But anxiety is growing in New York City’s Chinese community.","Coronavirus in New York: Lunar New Year Events Canceled Over Fears"
"86",6,"2020-02-03T23:27:08+0000","The number of dead is likely to grow as the tally of confirmed infections surges by more than 2,000 every day. “There’s no sign that it’s getting better,” said a health expert.","Beijing Sees ‘Major Test’ as Doors to China Close and Coronavirus Deaths Surpass SARS"
"87",7,"2020-01-25T20:53:49+0000","While China can mobilize a huge national response to the outbreak, its response to the crisis is also a lesson in how the country’s political weak points can carry grave consequences for world health.","Coronavirus Exposes Core Flaws, and Few Strengths, in China’s Governance"
"88",8,"2020-01-27T16:58:01+0000","To fight the expanding outbreak, the country is relying on a medical system that is overburdened even in normal times.","‘What if We All Get Sick?’: Coronavirus Strains China’s Health System"
"89",9,"2020-01-24T18:05:46+0000","Federal health officials are monitoring 63 other people in 22 states for signs of infection.","Chicago Woman Is Second Patient in U.S. With Wuhan Coronavirus"
"90",10,"2020-01-27T23:18:56+0000","The spread of the dangerous virus has spooked global markets and threatened prospects for economic growth.","China’s Coronavirus Has Revived Global Economic Fears"
"91",1,"2020-01-21T18:31:19+0000","A man in Washington State is infected with a new respiratory virus. Federal officials plan to expand screenings for the infection at major airports.","First Patient With Wuhan Coronavirus Is Identified in the U.S."
"92",2,"2020-01-29T21:27:17+0000","Stores are selling out of masks, and health care workers risk infection if they cannot get the protective gear.","Mask Hoarders May Raise Risk of a Coronavirus Outbreak in the U.S."
"93",3,"2020-01-25T01:05:04+0000","Facing the brunt of scrutiny in the United States, Chinese-Americans have also scrambled to help friends and family in China.","As Coronavirus and Fear Spread to the U.S., Chinese-Americans Rush to Help"
"94",4,"2020-01-24T12:51:50+0000","Asia’s two largest economies have been drawing closer. But as the Lunar New Year holiday starts, some Japanese say they cannot help but regard Chinese visitors warily.","Coronavirus Outbreak Sours Japan on Chinese Tourist Boom"
"95",5,"2020-01-23T06:25:18+0000","The Chinese city of 11 million embodies the country’s surge from grinding poverty to industrial powerhouse.","Wuhan Beyond the Coronavirus: Steel, Cars and Spicy Noodles"
